Part.Number,Part.Number.Start,Part,Subpart,Part.Number.End,Change,Page,FedReg_Number,Year,Action
225.110-225.112,225.110,225,110,225.112,unknown,7798,15,1950,Unknown
225.113-225.115,225.113,225,113,225.115,unknown,8075,15,1950,Unknown
225.116-225.119,225.116,225,116,225.119,unknown,8713,15,1950,Unknown
201.1,201.1,201,1,NA,unknown,2719,16,1951,Unknown
204.5,204.5,204,5,NA,unknown,162,16,1951,Unknown
204.52,204.52,204,52,NA,unknown,1871,16,1951,Unknown
204.103,204.103,204,103,NA,unknown,579,16,1951,Unknown
204.104,204.104,204,104,NA,unknown,9306,16,1951,Unknown
206.10,206.10,206,10,NA,unknown,1829,16,1951,Unknown
206.12,206.12,206,12,NA,unknown,1829,16,1951,Unknown
206.17,206.17,206,17,NA,unknown,1829,16,1951,Unknown
206.107,206.107,206,107,NA,unknown,2832,16,1951,Unknown
206.108,206.108,206,108,NA,unknown,4641,16,1951,Unknown
217.102-217.103,217.102,217,102,217.103,unknown,580,16,1951,Unknown
217.104,217.104,217,104,NA,unknown,2559,16,1951,Unknown
218.101,218.101,218,101,NA,unknown,4963,16,1951,Unknown
220.3,220.3,220,3,NA,unknown,8880,16,1951,Unknown
220.4,220.4,220,4,NA,unknown,8880,16,1951,Unknown
220.6,220.6,220,6,NA,unknown,8880,16,1951,Unknown
220.8,220.8,220,8,NA,unknown,453,16,1951,Unknown
221.4,221.4,221,4,NA,unknown,455,16,1951,Unknown
222.129,222.129,222,129,NA,unknown,1586,16,1951,Unknown
222.129,222.129,222,129,NA,unknown,280,16,1951,Unknown
223,223,223,NA,NA,unknown,1586,16,1951,Unknown
225.5,225.5,225,5,NA,unknown,1586,16,1951,Unknown
225.1-225.7,225.1,225,1,225.7,unknown,308,16,1951,Unknown
225.120-225.121,225.120,225,120,225.121,unknown,495,16,1951,Unknown
263.3,263.3,263,3,NA,unknown,6812,16,1951,Unknown
206.109,206.109,206,109,NA,unknown,5186,17,1952,Unknown
208,208,208,NA,NA,unknown,8006,17,1952,Unknown
217.3,217.3,217,3,NA,unknown,5186,17,1952,Unknown
220.109,220.109,220,109,NA,unknown,9584,17,1952,Unknown
221.103,221.103,221,103,NA,unknown,191,17,1952,Unknown
204.5,204.5,204,5,NA,unknown,3750,18,1953,Unknown
206.110,206.110,206,110,NA,unknown,7189,18,1953,Unknown
206.111,206.111,206,111,NA,unknown,8442,18,1953,Unknown
217.105,217.105,217,105,NA,unknown,4005,18,1953,Unknown
217.106,217.106,217,106,NA,unknown,5505,18,1953,Unknown
217.107,217.107,217,107,NA,unknown,6206,18,1953,Unknown
220.8,220.8,220,8,NA,unknown,1129,18,1953,Unknown
220.110,220.110,220,110,NA,unknown,4592,18,1953,Unknown
220.111,220.111,220,111,NA,unknown,5505,18,1953,Unknown
221.3,221.3,221,3,NA,unknown,3409,18,1953,Unknown
221.4,221.4,221,4,NA,unknown,1129,18,1953,Unknown
221.104,221.104,221,104,NA,unknown,4592,18,1953,Unknown
221.105-221.106,221.105,221,105,221.106,unknown,5505,18,1953,Unknown
224.4,224.4,224,4,NA,unknown,"3113, 4422",18,1953,Unknown
224.6,224.6,224,6,NA,unknown,4191,18,1953,Unknown
204.5,204.5,204,5,NA,unknown,3864,19,1954,Unknown
204.52,204.52,204,52,NA,unknown,1112,19,1954,Unknown
206.112,206.112,206,112,NA,unknown,5037,19,1954,Unknown
207.1,207.1,207,1,NA,unknown,4345,19,1954,Unknown
207.51,207.51,207,51,NA,unknown,4345,19,1954,Unknown
210.3,210.3,210,3,NA,unknown,4347,19,1954,Unknown
210.51,210.51,210,51,NA,unknown,4347,19,1954,Unknown
211.11,211.11,211,11,NA,unknown,6395,19,1954,Unknown
211.15,211.15,211,15,NA,unknown,6396,19,1954,Unknown
217.108,217.108,217,108,NA,unknown,2716,19,1954,Unknown
217.109,217.109,217,109,NA,unknown,3006,19,1954,Unknown
224.2,224.2,224,2,NA,unknown,"933, 3053",19,1954,Unknown
